hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,game_prefund_ETH
8.0,0.3333333333333333,2026-09-16T10:57:33+00:00,5.226419678531656e-05,-0.45037478687438304,50555554.651014544,7965.388591696688,752,687839.2067029702,111.7189937774005,2386.5151600232653,1256.8887506110468,0.0,6.380525513146722,0.0,0.0,1.2213419328936546,5.019441187888947,99756.86198449162,29.0,1.1696685598633758,23217.666986214586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.34375,2026-09-16T11:12:33+00:00,5.146981237586369e-05,-0.4587287600951456,50213458.963554844,7989.381590565061,752,695130.873369637,111.7189937774005,2387.0421258851284,1239.323221882229,0.0,17.565528728817753,0.0,0.0,6.954436001419726,16.842436186588717,338133.5478250332,33.0,0.19612668036450487,3962.139634658302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.3541666666666667,2026-09-16T11:27:33+00:00,5.0903616641496264e-05,-0.4646830360682519,49964758.42018424,8006.756874545015,752,702422.5400363037,111.7189937774005,2387.4202059647723,1226.7205525607035,0.0,12.602669321525582,0.0,0.0,5.150694738074419,7.923589863806561,161451.18139779734,31.0,4.300999378073256,87249.36197281622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.3645833333333333,2026-09-16T11:42:33+00:00,5.065968640969052e-05,-0.46724827602008223,49856329.61231214,8012.646962994875,752,709714.2067029702,111.7189937774005,2387.5837394530267,1221.2694362856307,0.0,5.4511162750727635,0.0,0.0,0.6025056630388175,4.8939316864260265,100364.94415809978,30.0,0.3936511003945543,8063.863713997847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.375,2026-09-16T11:57:33+00:00,5.0484231848067776e-05,-0.4690934062766875,49777853.30967725,8029.357684256987,752,717005.8733696368,111.7189937774005,2387.7016096766506,1217.340428831468,0.0,3.929007454162729,0.0,0.0,12.899584031574335,3.5517149943837674,73140.06840863203,39.0,0.2594222361540801,5336.23422625956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.25,0.3854166666666667,2026-09-16T12:12:33+00:00,4.9987195655220196e-05,-0.4743203807683676,49553303.075979844,8042.774094999124,752,724297.5400363037,111.7189937774005,2388.0366346825153,1206.1729286359919,0.0,11.167500195476123,0.0,0.0,2.5839355525251655,8.65063836868705,179484.34851552197,30.0,2.181836820924782,45065.88518188156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.3958333333333333,2026-09-16T12:27:33+00:00,4.7449735040363535e-05,-0.5010050409568175,48352475.16339257,8110.454527580626,752,731589.2067029702,111.7189937774005,2389.773569440334,1148.2751033754273,0.0,57.89782526056456,0.0,0.0,11.519542078754139,55.42564188459595,1184798.387482551,35.0,0.7352486181516541,16029.525104722854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.75,0.40625,2026-09-16T12:42:33+00:00,4.282297027152419e-05,-0.5496614200570482,45894245.52245,8224.182886150227,752,738880.873369637,111.7189937774005,2393.0646187457537,1038.5734598614747,0.0,109.7016435139526,0.0,0.0,7.317764361066672,106.29856275835101,2455770.1660991744,35.0,0.11203145018303758,2459.4748433958425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.4166666666666667,2026-09-16T12:57:33+00:00,4.2390580805969155e-05,-0.5542085511099782,45644164.9500526,8242.64081751528,752,746172.5400363038,111.7189937774005,2393.3810719381554,1028.0250201147996,0.0,10.548439746675058,0.0,0.0,8.22594481077833,10.161719057259397,248358.07026563163,33.0,0.07026749701540211,1722.5021317707192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.25,0.4270833333333333,2026-09-16T13:12:33+00:00,4.164199553846593e-05,-0.5620808874798304,45206989.21860568,8268.468707954089,741,741839.6360034051,111.7189937774005,2393.9327796510306,1009.6347630189937,0.20174651620510078,18.390257095805964,4956.479471770714,11.0,7.989341055879059,5.889623571440587,146033.31115842017,35.0,11.747179295286099,291142.4202885011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.4375,2026-09-16T13:27:33+00:00,4.151144026820911e-05,-0.5634538439711418,45128657.86405033,8279.04507081139,741,749131.3026700716,111.7189937774005,2394.029505322566,1006.4105739678973,0.0,3.224189051096346,0.0,0.0,7.448899477735251,2.9737438975725556,74485.66461538992,28.0,0.15371948199089958,3845.689939956123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,0.4479166666666667,2026-09-16T13:42:33+00:00,4.070880420474107e-05,-0.5718945939411073,44638837.03521134,8312.5372395792,741,756422.9693367385,111.7189937774005,2394.627533671519,986.4762956694574,0.0,19.93427829843995,0.0,0.0,14.155918818324977,0.8974423309475126,22845.588304241228,23.0,18.438807618539236,466975.2405347438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.4583333333333333,2026-09-16T13:57:33+00:00,3.990421629151777e-05,-0.5803558701202887,44133066.3995649,8333.278106173195,741,763714.6360034052,111.7189937774005,2395.232963237979,966.2953101207019,0.0,20.18098554875553,0.0,0.0,1.1653106117016125,19.0016362824099,490834.4727302854,36.0,0.573919699882955,14936.162916162893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.46875,2026-09-16T14:12:33+00:00,3.8944193105367395e-05,-0.590451748001295,43510569.446959764,8366.41957954524,738,767717.8815358388,111.7189937774005,2395.963807626579,941.9476127568342,0.05265667001480665,24.35589975922869,1374.1666208954503,3.0,9.524620396778563,22.487692162893996,594306.3067973764,38.0,1.0848739335430242,28399.11231253522,0.008369791184827858,0.0082023953611313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.4791666666666667,2026-09-16T14:27:33+00:00,3.796364582784245e-05,-0.6007634630861578,42849050.71248455,8395.776334654453,738,775009.5482025056,111.7189937774005,2396.7263213991237,916.768893064907,0.0,25.320605079560323,0.0,0.0,4.940549189827418,24.55541624127588,665069.9781475592,28.0,0.0055706858976361665,149.0469405779063,0.1447810077888804,0.1418853876331028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.4895833333333333,2026-09-16T14:42:33+00:00,3.7862981355812474e-05,-0.6018220794104634,42779690.44127985,8404.09661851564,738,782301.2148691724,111.7189937774005,2396.8045989818706,914.1655847790171,0.0,2.6068460892346366,0.0,0.0,5.795253158042265,1.1167178188043272,30685.219987326145,31.0,1.4119228877532704,38767.30866566904,0.003610003412978,0.00353780334471844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.5,2026-09-16T14:57:33+00:00,3.754362384114756e-05,-0.6051805342008809,42557805.01320551,8418.616121647627,738,789592.8815358389,111.7189937774005,2397.0530614126546,905.8835037529033,0.0,8.282081026113815,0.0,0.0,6.485884536655706,2.4817538552477347,68346.29989214282,20.0,5.551864740082666,153539.12818219507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.5104166666666666,2026-09-16T15:12:33+00:00,3.739277730304395e-05,-0.6067668794573673,42452953.60938962,8422.667716988246,736,794613.2249892589,111.7189937774005,2397.1707885171018,901.9592669380428,0.03395676286924186,3.9242368148604783,941.8699780597567,2.0,0.24508563020590032,3.5911411566252873,99813.15771548472,19.0,0.1814117909201343,5038.246100407096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.5208333333333334,2026-09-16T15:27:33+00:00,3.696152105766193e-05,-0.6113020932434603,42146388.25386583,8446.596016559355,736,801904.8916559259,111.7189937774005,2397.6109578878236,890.7167789459166,0.0,13.283719496978279,0.0,0.0,13.125980949704998,12.440300812339785,348347.83987370395,27.0,0.4449070997291437,12454.97504159018,2.0828892906655008,2.0412315048521905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.53125,2026-09-16T15:42:33+00:00,3.636931085295283e-05,-0.6175299448129663,41715681.67575815,8470.713063972855,736,809196.5583225925,111.7189937774005,2398.3813807408073,875.2032162090516,0.0,21.56448685544774,0.0,0.0,9.373907529617012,17.321548111097638,491584.2459840049,29.0,3.5960041386866735,101497.72126407175,6.1744123659007135,6.050924118582699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
