hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
11.25,0.46875,2026-09-16T14:12:33+00:00,6.773201340822717e-05,-0.28771081170843016,55341613.99174884,7699.280858626416,1164,1058347.8024480965,111.7189937774005,2385.524010418355,1599.4017642515314,0.0,25.395555360441676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716946817131028,0.0,6.425750826120349,0.4813211037888804,5.875220120071816,90126.68147010337,20.0,0.0,18.758468579556613,285601.6575625424
11.5,0.4791666666666667,2026-09-16T14:27:33+00:00,6.723165368690424e-05,-0.2929727373743164,55170464.159336,7716.079875970072,1164,1065639.469114763,111.7189937774005,2386.133447322985,1588.074422740433,0.0,16.67601208017618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.348670569077999,0.0,6.081112737189817,5.4578271113040815,1.8945967606645464,29200.7182912825,20.0,0.0,14.281134957106346,220641.44493772672
11.75,0.4895833333333333,2026-09-16T14:42:33+00:00,6.759500525559113e-05,-0.28915162855292975,55292979.413953066,7713.222077341708,1164,1072931.1357814297,111.7189937774005,2386.3519897351825,1596.4362712286018,0.0,0.9500929998068841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.311941487975734,0.0,5.72259227200264,9.50198111017932,0.9215902098126775,14237.35592198895,20.0,0.0,0.0,0.0
12.0,0.5,2026-09-16T14:57:33+00:00,6.76930286503833e-05,-0.28812078655079887,55325568.02245042,7716.727089747838,1164,1080222.8024480962,111.7189937774005,2386.5103425427287,1598.708098631829,0.0,2.221643792106306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4934711953334165,0.0,5.935192616903378,4.585174689115731,1.2891210631408399,19871.73788976343,14.0,0.0,0.8658734152022771,13344.636817193432
12.25,0.5104166666666666,2026-09-16T15:12:33+00:00,6.7527369505302e-05,-0.28986290541078097,55268599.31889532,7729.801456675,1164,1087514.4691147627,111.7189937774005,2386.869638783644,1594.9928839346426,0.0,8.631874697186277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91666,0.0,9.71844847089061,5.0169999999999995,6.883720562587242,106106.67606775297,14.0,0.0,1.489197893683447,22988.14634881389
12.5,0.5208333333333334,2026-09-16T15:27:33+00:00,6.716253656082876e-05,-0.29369959280282154,55143214.3142896,7738.2805519059675,1164,1094806.1357814297,111.7189937774005,2387.386478886963,1586.739642187132,0.0,13.59449668428806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34125493677744,0.0,0.7426935867770823,1.7650051987906124,13.186660363247155,203968.45690599285,13.0,3.685254940778203,1.420512262484408e-06,0.021896895854477596
12.75,0.53125,2026-09-16T15:42:33+00:00,6.678916802152433e-05,-0.2976260429467421,55014294.181219086,7764.941941109248,1164,1102097.8024480962,111.7189937774005,2387.7622465525023,1578.2392090537855,0.0,10.8959711517507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.395538018404519,0.0,18.536723735474133,2.267264111311584,10.562670387056421,164308.62852093007,13.0,0.177162438080782,0.006421630141753667,100.1223304652097
13.0,0.5416666666666666,2026-09-16T15:57:33+00:00,6.690310720607459e-05,-0.29642782595607386,55051094.27433507,7768.3035512188,1164,1109389.4691147625,111.7189937774005,2388.5392997769086,1581.0137431597948,0.0,14.291932748943509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06646685495229,0.0,6.913197439967887,17.237599658809312,13.857998366857458,215229.30071174607,17.0,0.177162438080782,0.005176399617746483,80.51313920986922
13.25,0.5520833333333334,2026-09-16T16:12:33+00:00,6.728888760837312e-05,-0.2923708491177234,55182111.905592844,7760.0207764110955,1164,1116681.1357814292,111.7189937774005,2388.766567262072,1589.9116591793054,0.0,0.9061501026335463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.804066122144178,2.0548538613282212,0.8424086969689872,7.949295242900534,0.8789655995545401,13641.760850259972,10.0,0.0,0.0,0.0
13.5,0.5625,2026-09-16T16:27:33+00:00,6.737841134384845e-05,-0.29142939195934514,55212063.099932656,7767.492804693202,1164,1123972.8024480962,111.7189937774005,2388.917533951653,1591.9924713704086,0.0,2.152451659262397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233263850365216,0.0,9.703807162790955,1.0636881127805646,2.044164356858385,31636.169729650945,16.0,3.2559688773880224,0.04371375262614038,675.7309811254773
