hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,buyback_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
9.5,0.3958333333333333,2026-09-16T15:10:47+00:00,9.025378485820938e-05,-0.13041134868633708,60779395.23213091,7614.8425100290815,1164,1207624.2867402043,48.82362765396599,2392.509639245477,2076.357726584513,0.0,44.80269979684317,0.0,0.0,0.0,0.0,10.46247762902592,43.35591026522687,494044.02986524405,12.0,0.0,0.0,0.10270853771101429,1181.11607625645,0.0,0.0,0.0,0.0,0.0,0.0
9.75,0.40625,2026-09-16T15:25:47+00:00,8.854686537409374e-05,-0.14685739374056972,60395022.16486127,7659.071048310869,1164,1214915.9534068713,48.82362765396599,2393.5360513274636,2042.3421668516648,0.0,34.13350273284823,0.0,0.0,0.0,0.11794299999999999,11.239390630924985,33.10949765086278,385668.73471204255,16.0,0.0,0.0,0.0,0.0,0.12035,0.0,0.0,0.0,0.0,0.0
10.0,0.4166666666666667,2026-09-16T15:40:47+00:00,8.787281326645848e-05,-0.15335183676159692,60240167.04738209,7680.811268875797,1164,1222207.6200735373,48.82362765396599,2393.9417428035126,2028.81911765003,0.0,13.523049201634876,0.0,0.0,0.0,0.0,8.622862839343414,10.578335319098683,124822.57587468415,15.0,0.0,0.0,2.5390224064871427,30032.541604501206,0.0,0.0,0.0,0.0,0.0,0.0
10.25,0.4270833333333333,2026-09-16T15:55:47+00:00,8.693958632790103e-05,-0.16234341042407174,60028554.7933152,7713.616072224956,1153,1153252.394432142,43.94126488856939,2394.746455720563,2010.0690075147263,5.1179677740599665,23.555078166284602,60741.51064010956,11.0,0.0,4.804968030980955,9.977043365506646,14.501803919963825,173430.956689263,22.0,0.020665837645191733,4.8823627653966,3.2286541272722755,38412.455518678566,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.4375,2026-09-16T16:10:47+00:00,8.680364054187483e-05,-0.16365323818263078,59996616.51262853,7718.165083607243,1153,1160544.061098809,43.94126488856939,2394.828859235555,2007.3222236817096,0.0,2.746783833016707,0.0,0.0,0.0,0.0,1.8846310642615531,2.664380318026206,31938.28068668001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,0.4479166666666667,2026-09-16T16:25:47+00:00,8.642938456145417e-05,-0.16725916732755652,59908302.13278042,7767.420182029999,1153,1167835.7277654754,43.94126488856939,2395.056048368002,1999.7492526001597,0.0,7.572971081549895,0.0,0.0,0.0,0.0,41.909316473651316,6.6945189863688395,80471.44640593843,6.0,0.0,0.0,0.6512629627345586,7842.93344216991,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.4583333333333333,2026-09-16T16:40:47+00:00,8.64095299081909e-05,-0.16745046546735898,59903600.946527675,7771.320548509067,1153,1175127.3944321424,43.94126488856939,2395.0681147046625,1999.3470413781338,0.0,0.40221122202592596,0.0,0.0,0.0,0.0,3.510221593704553,0.3238740756586459,3902.6056324559627,12.0,0.0,0.0,0.0662708097065024,798.5806202994544,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.46875,2026-09-16T16:55:47+00:00,8.62105847660663e-05,-0.16936728743884,59806343.25252818,7786.700131032292,1153,1182419.061098809,39.54713839971245,2395.426754754421,1995.3617291458258,0.0,8.728208368597734,0.0,0.0,0.0,4.742896136289888,7.358783851818149,6.159503772650843,74354.1094823641,10.0,0.44556344613274274,4.394126488856939,2.3068583448889606,27908.866058151838,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.4791666666666667,2026-09-16T17:10:47+00:00,8.58822873059609e-05,-0.17253040958392518,59728020.14400931,7795.105445293793,1153,1189710.7277654756,39.54713839971245,2395.6633289849924,1988.7042694515444,0.0,7.388500806562661,0.0,0.0,0.0,0.7310411122811257,1.9844287977888402,6.907952762180744,83608.34157441041,15.0,0.7459603186542099,0.0,0.25889302018503707,3138.0757442468152,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.4895833333333333,2026-09-16T17:25:47+00:00,8.520817311486126e-05,-0.17902545077461518,59565803.37675018,7900.5662252084485,1153,1197002.3944321424,39.54713839971245,2396.139902907811,1974.9920720242812,0.0,15.005797427263133,0.0,0.0,0.0,1.2935999999999999,92.2251564102099,14.28525357189488,173972.03273960343,12.0,1.3199999999999998,0.0,0.27036993255035896,3280.08632756956,0.0,0.0,0.0,0.0,0.0,0.0
