hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth
130.0,retire,147,1,,,,,2685.158968452446,0.10232775579328506,0.26797803704853324
130.0,retire,737,1,,,,,3136.1165940902715,0.10370405581911565,0.31244747477589957
130.0,retire,644,1,,,,,3136.1165940902715,0.10509176470860467,0.3119034409732649
130.0,retire,616,1,,,,,3136.1165940902715,0.10649088246175209,0.3113557295872852
130.0,retire,678,1,,,,,3135.62617288192,0.1079011876106106,0.31075582177254546
130.0,retire,257,1,,,,,2685.158968452446,0.10911795215110558,0.26570194332443864
130.0,retire,566,1,,,,,3136.1165940902715,0.11054965417452339,0.3097712044380387
130.0,retire,165,1,,,,,3136.1165940902715,0.11199276506159958,0.3092093350021969
130.0,retire,134,1,,,,,2672.7476209347155,0.11323165761479424,0.2631086033990414
130.0,retire,723,1,,,,,3142.6888684592336,0.1146989810952093,0.3088035902340835
130.0,retire,369,1,,,,,3136.1165940902715,0.11617465679472033,0.30758540417036784
130.0,retire,931,1,,,,,3136.1165940902715,0.11766174135788982,0.307009418669486
130.0,retire,375,1,,,,,3136.1165940902715,0.11916023478471767,0.3064297765248739
130.0,retire,525,1,,,,,3136.1165940902715,0.12067013707520395,0.3058464800722504
130.0,retire,181,1,,,,,3136.1165940902715,0.12219144822934866,0.3052595316334191
130.0,retire,823,1,,,,,3137.183698052656,0.12372469171649608,0.3047724091971304
130.0,retire,717,1,,,,,3136.1165940902715,0.12526882447996998,0.3040744852140506
130.0,retire,695,1,,,,,2685.158968452446,0.12659998480990628,0.2599084829124877
130.0,retire,86,1,,,,,2672.7476209347155,0.12793329804033532,0.25827070896239096
130.0,retire,674,1,,,,,2685.158968452446,0.1292811470941512,0.25902745820194467
130.0,retire,960,1,,,,,3136.1165940902715,0.1308659485512649,0.30192654018069337
130.0,retire,154,1,,,,,2672.7476209347155,0.13222559654279065,0.25686910199069646
130.0,retire,481,1,,,,,3136.1165940902715,0.13383153003943518,0.30079218766150007
130.0,retire,735,2,,,,,6269.8973294237285,0.13707640624305778,0.598940351660076
130.0,retire,722,1,,,,,3136.1165940902715,0.13871655783306805,0.29892907486473635
130.0,retire,557,1,,,,,3136.1165940902715,0.14036811828673665,0.2983005933655477
130.0,retire,607,1,,,,,3136.5965835550437,0.14203134299834352,0.2977139534883918
130.0,retire,591,1,,,,,3136.1165940902715,0.14370572292548034,0.2970326618283252
130.0,retire,638,1,,,,,3136.1165940902715,0.14539151171627562,0.2963933130402438
130.0,retire,465,1,,,,,3136.1165940902715,0.1470887093707293,0.2957503462171644
130.0,retire,368,1,,,,,3136.1165940902715,0.14879731588884137,0.2951037634365548
130.0,retire,840,1,,,,,3136.1165940902715,0.15051733127061181,0.29445356676155826
130.0,retire,945,1,,,,,3136.1165940902715,0.15224875551604067,0.2937997582405842
130.0,retire,253,1,,,,,2685.158968452446,0.15374027576481228,0.2510677992524052
130.0,retire,528,1,,,,,3136.1165940902715,0.15549287720095406,0.2925765812221471
130.0,retire,928,1,,,,,3136.1165940902715,0.15725688750075426,0.2919124676791853
130.0,retire,288,1,,,,,3136.1165940902715,0.1590323066642129,0.2912447500394137
130.0,retire,866,1,,,,,2685.158968452446,0.16056149558542365,0.24887005294613118
130.0,retire,629,1,,,,,3136.1165940902715,0.16235809193959522,0.2899957750688373
130.0,retire,187,1,,,,,2672.7476209347155,0.16389824160899358,0.24665264429609124
130.0,retire,857,1,,,,,2685.158968452446,0.16545388758113833,0.24729902034082443
130.0,retire,226,1,,,,,3136.1165940902715,0.16728138430189524,0.28815110771492985
130.0,retire,753,1,,,,,3136.1165940902715,0.16912028988631042,0.2874633701089806
130.0,retire,895,2,,,,,6268.791996638791,0.17283027856572541,0.5718928789705388
130.0,retire,863,1,,,,,3136.1165940902715,0.17470339822242148,0.28537949842789206
130.0,retire,300,1,,,,,3136.1165940902715,0.17658792674277599,0.2846774097730304
130.0,retire,917,1,,,,,3136.1165940902715,0.17848386412678893,0.2839717370204653
130.0,retire,937,1,,,,,2685.158968452446,0.1801162413610213,0.24261520853974616
130.0,retire,72,1,,,,,3135.270584143302,0.18203283722968028,0.2825762983044115
130.0,retire,79,1,,,,,3140.209640219745,0.18396388201876188,0.2823037145392391
130.0,retire,563,1,,,,,3136.1165940902715,0.18590382613318202,0.28121623814708985
130.0,retire,408,1,,,,,3136.1165940902715,0.18785517911126057,0.28049318185981065
130.0,retire,323,1,,,,,2672.7476209347155,0.18952721973112646,0.23851896926257724
130.0,retire,425,1,,,,,3136.1165940902715,0.19149970474873573,0.2791444561637945
130.0,retire,416,1,,,,,2685.158968452446,0.19319762245593805,0.23846458105044804
130.0,retire,152,1,,,,,3136.1165940902715,0.1951912846642603,0.27778055929670703
130.0,retire,623,1,,,,,3136.9273891413104,0.19719687559192037,0.2771121296871115
130.0,retire,784,1,,,,,2685.158968452446,0.1989226961699591,0.23665573562275313
130.0,retire,71,1,,,,,2685.158968452446,0.20065688043927332,0.23610869009467025
130.0,retire,50,1,,,,,3136.1165940902715,0.20269289997860893,0.2750157052702889
130.0,retire,521,1,,,,,2672.7476209347155,0.20443709746617508,0.23383169448597982
130.0,retire,361,1,,,,,3136.1165940902715,0.20649424904504135,0.27361796062268695
130.0,retire,697,1,,,,,3136.1165940902715,0.20856280948756623,0.27285826806105434
130.0,retire,367,1,,,,,2672.7476209347155,0.21033473987949744,0.23198569713808867
130.0,retire,198,1,,,,,3136.1165940902715,0.21242443236155303,0.27144172647704184
130.0,retire,586,1,,,,,2672.7476209347155,0.21421437248197708,0.23077370002611133
130.0,retire,412,1,,,,,3136.1165940902715,0.21632519700356342,0.270012990432906
130.0,retire,192,1,,,,,3136.1165940902715,0.21844743038880812,0.2692365762625741
130.0,retire,302,1,,,,,2685.158968452446,0.22027356340953705,0.22994735870165642
130.0,retire,432,1,,,,,3136.1165940902715,0.22241697398549465,0.26778597482853
130.0,retire,810,1,,,,,3136.1165940902715,0.22457179342511066,0.2669994243834026
130.0,retire,317,1,,,,,3136.1165940902715,0.2267380217283851,0.26620932778996576
130.0,retire,118,1,,,,,2672.7476209347155,0.22859318931339542,0.22629721790035548
130.0,retire,657,1,,,,,3136.1165940902715,0.23078054965620062,0.2647365029290086
130.0,retire,407,1,,,,,3136.1165940902715,0.2329793188626642,0.26393629938802404
130.0,retire,888,2,,,,,6267.6953444742485,0.23740786107100217,0.5243163489661129
130.0,retire,979,1,,,,,3136.828989390266,0.23964134889639901,0.26157497416816117
130.0,retire,600,1,,,,,3136.1165940902715,0.24188573964091567,0.26070120829381266
130.0,retire,296,1,,,,,3136.1165940902715,0.24414153924909085,0.25988331691410166
130.0,retire,598,1,,,,,2685.158968452446,0.2460820323487974,0.22190884204542272
130.0,retire,578,1,,,,,3136.1165940902715,0.24835900914768547,0.2583557663245301
130.0,retire,100,1,,,,,3136.1165940902715,0.25064739481023185,0.2575277826991624
130.0,retire,60,1,,,,,3136.1165940902715,0.25294718933643673,0.25669626791632255
130.0,retire,912,1,,,,,3136.1165940902715,0.2552583927262999,0.2558612231346615
130.0,retire,240,1,,,,,3136.1165940902715,0.2575810049798215,0.25502264949400344
130.0,retire,172,1,,,,,3136.1165940902715,0.25991502609700157,0.2541805481157553
130.0,retire,760,1,,,,,3136.1165940902715,0.26226045607784,0.253334920101679
130.0,retire,487,1,,,,,3136.1165940902715,0.26461729492233693,0.2524857665334821
130.0,retire,789,1,,,,,3136.1165940902715,0.2669855426304922,0.2516330884728177
130.0,retire,980,1,,,,,3136.1165940902715,0.2693651992023058,0.2507768869629217
130.0,retire,419,1,,,,,3136.1165940902715,0.2717562646377779,0.2499171630253386
130.0,retire,70,1,,,,,3136.1165940902715,0.27415873893690834,0.24905391766401408
130.0,retire,468,1,,,,,3136.1165940902715,0.27657262209969713,0.24818715186120244
130.0,retire,905,1,,,,,2672.7476209347155,0.2786388529270077,0.21088255268546163
130.0,retire,5,1,,,,,3136.1165940902715,0.2810738681293272,0.24657238286085886
130.0,retire,218,1,,,,,3136.1165940902715,0.28352029219530533,0.24569558113730636
130.0,retire,537,1,,,,,3136.1165940902715,0.28597812512494175,0.24481526257100086
130.0,retire,424,1,,,,,3136.1165940902715,0.2884473669182366,0.24393142804760828
130.0,retire,743,1,,,,,2685.158968452446,0.29057061030174974,0.2082027300069967
130.0,retire,620,1,,,,,3136.1165940902715,0.29306102928575767,0.24228152463601874
130.0,retire,480,1,,,,,3136.1165940902715,0.2955628571334236,0.24138765253555902
130.0,retire,512,1,,,,,2685.158968452446,0.29771400086232164,0.20601742663066033
130.0,retire,49,1,,,,,3136.1165940902715,0.30023700590070074,0.23971912351153152
130.0,retire,699,1,,,,,3136.1165940902715,0.30277141980273825,0.238815220413062
130.0,retire,277,1,,,,,3136.1165940902715,0.30531724256843423,0.23790780676522447
130.0,retire,74,1,,,,,3136.1165940902715,0.3078744741977886,0.23699688329693344
130.0,retire,811,1,,,,,3136.1165940902715,0.31044311469080116,0.2360824507100915
130.0,retire,733,1,,,,,3203.2679915927524,0.31307853353948095,0.24018018124775153
130.0,retire,427,1,,,,,3136.1165940902715,0.31567023604956046,0.23422329364570943
130.0,retire,52,1,,,,,3136.1165940902715,0.3182733474232985,0.23329826263261566
130.0,retire,656,1,,,,,2685.158968452446,0.3205112106220337,0.19906855813528637
130.0,retire,781,1,,,,,3136.1165940902715,0.32313549918648454,0.23157191264899665
130.0,retire,768,1,,,,,3136.1165940902715,0.32577119661459375,0.23063686797345326
130.0,retire,290,1,,,,,3136.1165940902715,0.3284183029063615,0.22969831845625777
130.0,retire,705,1,,,,,3136.1165940902715,0.3310768180617875,0.2287562646368315
130.0,retire,112,1,,,,,3136.1165940902715,0.333746742080872,0.22781070703044862
130.0,retire,792,1,,,,,3136.1165940902715,0.33642807496361476,0.22686164612946413
130.0,retire,94,1,,,,,2685.158968452446,0.338732911815953,0.1935399937874081
130.0,retire,597,1,,,,,3136.1165940902715,0.34143542188940873,0.2250907013698452
130.0,retire,333,1,,,,,3136.1165940902715,0.34414934082652304,0.22413163690971488
130.0,retire,207,1,,,,,3136.1165940902715,0.3468746686272956,0.22316907085837556
130.0,retire,874,1,,,,,3136.1165940902715,0.3496114052917267,0.2222030036054548
130.0,retire,948,1,,,,,3136.1165940902715,0.35235955081981596,0.22123343551520522
130.0,retire,908,1,,,,,3136.1165940902715,0.35511910521156387,0.22026036693182505
130.0,retire,913,1,,,,,3136.1165940902715,0.35789006846696997,0.21928379817823043
130.0,retire,915,1,,,,,3136.1165940902715,0.36067244058603487,0.21830372955196253
130.0,retire,679,1,,,,,3136.1165940902715,0.3634662215687577,0.21732016133091747
130.0,retire,709,1,,,,,3138.3437538950893,0.36627340761636035,0.21648603365511007
