charter,branches,balance,cash,wallet_tokens,withdrawal_cash,external_spend
572,3,11268.628683171602,0.002172083301802824,0.0,3.8416553185901647,5.841485237290364
573,4,11929.95438240124,0.02029511209973489,0.0,3.8897687438172306,5.8714756337194975
574,2,10750.559463662528,0.10209700376113769,0.0,4.179277503255344,6.0791825014962075
575,5,13487.151677253913,0.005982519959741056,0.0,3.499508259108552,5.495527741150813
576,2,11291.928831986123,0.04748373270760631,0.0,1.8332156047543593,3.7877338740487554
577,2,9801.558540092488,0.06698657333793068,0.0,3.7655268110045474,5.700542239668619
578,0,0.0,2.8024638955915027,0.0,4.4530358680025435,3.652573974413043
579,3,12559.623388040449,0.004834809231307885,0.0,1.5114634565887355,3.5086306493594304
580,0,0.0,2.9789684849815417,0.0,2.2084666619369364,1.2315001789573963
581,0,0.0,2.9552246733125656,0.0,2.185112445576851,1.2318897742662875
582,3,12883.34116920194,0.0008359105445994719,0.0,1.5271854286517008,3.5283515201091036
583,2,10262.182722044156,0.04424876847617498,0.0,5.771783326699605,7.729536560225433
584,2,10750.559463662528,0.023549047729888972,0.0,3.7938009895753293,5.772253943847443
585,0,0.0,3.0130554695562575,0.0,2.2357855365190606,1.2247320689648054
586,0,0.0,1.3875025293463363,0.0,1.1095591032423227,1.7240585758979885
587,3,10093.61276225555,0.0014201856630872839,0.0,4.116481248612844,6.11706306495176
588,2,11291.928831986123,0.003281779490454162,267.80430492710184,1.8742002362840684,3.8729204587956163
589,2,10750.559463662528,0.05570992893728835,0.0,3.4924209360235547,5.438713009088268
590,3,11056.055626959867,0.005097412206602633,0.0,1.8857430215695967,3.8826476113649964
591,4,11929.95438240124,0.006008250002240478,0.0,4.050613761458817,6.046607513458579
592,0,0.0,2.9354984715027617,0.0,2.163664728980075,1.230168259479315
593,2,11315.71140012308,0.03233839367921876,0.0,2.061722697805908,4.031386306128692
594,5,13487.151677253913,0.00417562948077474,0.0,3.4996289462503043,5.497455318771531
595,3,11506.05033394607,0.06410194257529933,0.0,3.4756598053971084,5.413559864823811
596,2,11291.928831986123,0.07352760936574335,0.0,1.885937490241331,3.81441188287759
597,0,0.0,2.9370272588070128,0.0,2.1655840185146737,1.2305587617096627
598,0,0.0,2.3468323241088775,0.0,2.0519350541818673,1.7071047320749924
599,3,10819.833344646313,0.012960905724177935,0.0,3.7059634680517775,5.695004564329603
600,0,0.0,2.971555821043293,0.0,2.4001946601676716,1.430640841126381
601,2,11291.928831986123,0.05800433350552492,135.12399891156565,1.8718214001853448,3.8158190686818223
602,3,10916.20954867422,0.007156734826915756,0.0,3.899029883288958,5.893875150464044
603,3,11505.287968719895,0.06606669315785851,0.0,3.377044241096855,5.312979549941
604,3,11974.657011952078,0.009019357872190326,0.0,2.063566693288185,4.056549337417997
